Name,Coordinate
TmnMawarP.Gudang Jhr,"1.47262,103.897506"
Bera Phg,"3.263266,102.445345"
Paya Terubong Pg,"5.377307,100.274708"
Batu Gajah Prk,"4.472591,101.040779"
Manir Trg,"5.308829,103.081726"
"Tmn Jaya,Pontian Jhr","1.504541,103.38231"
Gerik Prk,"5.431236,101.129437"
Sultanah Zainab Kltn,"6.128562,102.236028"
Sea Park Maybank PJ,"3.109414,101.62232"
"Lrg Raja Hassan,Klg","3.046655,101.448156"
"Jln Sg. Jarom,Klg","2.876509,101.498501"
BatuMaungB.Lepas Pg,"5.28817,100.281628"
Jln Syed Hussien Trg,"5.332361,103.137689"
"Sec U8, Shah Alam","3.109489,101.54232"
TmnTermeloh Jaya Phg,"3.452859,102.395569"
TmnIndrawasihPraiPG,"5.388584,100.38697"
Tmn Tiong Mas Pg,"5.275917,100.477414"
Flora D'sara Sel,"3.175452,101.618744"
Taman Setia Indah JB,"1.572484,103.759083"
Bkt Angsana Cheras,"3.061215,101.749896"
SaujanaImpianKajang,"3.013978,101.793383"
Bdr Jaya Gading Phg,"3.755196,103.203934"
Bdr Sri Jempol N9,"2.891982,102.408025"
TelukKumbarB.LepasPg,"5.29321,100.230548"
Kota Laksamana Mlk,"2.195269,102.243541"
"Jln Raja Hassan,Klg","3.048688,101.447059"
Pasir Panjang Trg,"5.291378,103.138696"
Jln Kota Taiping Prk,"4.85114,100.739938"
SS15 Subang Square,"3.07743,101.58901"
Panji Kltn,"6.11907,102.291931"
"BT 6, Pekan Meru Klg","3.13302,101.440155"
Pantai Remis Prk,"4.446559,100.626622"
Kempadan Phg,"3.732665,103.316234"
Taman Robina Pg,"5.474229,100.382721"
Tmn Pertama Prk,"4.598987,101.058096"
Jln Paka Trg,"4.75098,103.415361"
Jln Hospital Kltn,"6.124543,102.254131"
Tmn Sri Setali Phg,"3.841943,103.338142"
"Jln Abd Rahman,Jhr","2.036816,102.562263"
"BTS 5 Flr Theme Park, KL","3.141992,101.709942"
Ayer Tawar Prk,"4.293818,100.753073"
PersisiranPerlingJhr,"1.495282,103.679413"
"Jln Semarak, KL","3.171033,101.71698"
Lundang Kltn,"6.107325,102.257044"
Bdr Tasek Mutiara Pg,"5.284306,100.490312"
Pusat Niaga Paka Trg,"4.636106,103.436971"
Merdeka Villa Ampang,"3.138299,101.764274"
Kepayan KK,"5.94879,116.070332"
Api-Api KK,"5.975867,116.070025"
Jln Pantai KK,"5.985153,116.076825"
Donggongon KK,"5.913083,116.10519"
Damai KK,"5.962825,116.089064"
Plaza Tanjung Aru KK,"5.951433,116.05335"
Berverly Hills KK,"5.939252,116.101871"
Kampung Air KK,"5.978718,116.074253"
Menggatal KK,"6.024651,116.157487"
Melinsung KK,"5.772041,115.968769"
Hj Saman KK,"5.98435,116.076147"
Keningau Sbh,"5.334139,116.151753"
Kolombong KK,"5.980209,116.119971"
Tuaran Sbh,"6.178361,116.232136"
Tenom Sbh,"5.123096,115.943248"
Inanam KK,"5.993233,116.128535"
Kingfisher KK,"6.015504,116.123107"
Harbour City KK,"5.966394,116.06428"
Taipan Inanam KK,"5.993433,116.138258"
Warisan Square KK,"5.978204,116.070929"
Padang Merdeka KK,"5.979788,116.076286"
Taman Ketiau KK,"5.872088,116.061805"
Salut Commercial KK,"6.092177,116.154037"
"Gaya Street, KK","5.989519,116.079655"
Cyber Square KK,"5.916891,116.064444"
Tmn Che Mei KK,"5.944831,116.081577"
Wisma Telipok Ria KK,"6.108784,116.206416"
Api-Api Centre KK,"5.97524,116.070358"
Juta Commercial KGU,"5.338492,116.154478"
Jalan Bunga TWU,"4.24564,117.889081"
Adnan Shop Com KGU,"5.339629,116.15373"
Third Avenue SDK,"5.840362,118.118686"
Kubota Square Tawau,"4.256356,117.915927"
University Plaza KK,"6.042823,116.147901"
Harbour Square SDK,"5.838685,118.118643"
Grand Millenium KK,"5.927375,116.076782"
Taipan Jl Kuhara TWU,"4.267617,117.896572"
One Borneo Tower KK,"6.036443,116.128696"
KK Times Square,"5.969755,116.064932"
Taman Mawar SDK,"5.841425,118.034550"
Sri Perdana Lahad Datu,"5.026787,118.292957"
Bandaran Berjaya KK,"5.977192,116.075837"
Bundusan Pavillion,"5.928712,116.09427"
Adika Commercial KGU,"5.335150,116.150092"
Prima Square SDK,"5.857502,118.073075"
One Place Mall,"5.892118,116.047541"
Karamunsing Capital,"5.970134,116.076474"
Imago Mall KK,"5.970828,116.065128"
Bdr Pasaraya SDK,"5.858033,118.079164"
Menggatal Plaza,"6.0202144,116.1493036"
Lok Kawi,"5.838669,116.042398"
Beaufort Commercial,"5.343741,115.734996"
Damai Plaza KK,"5.959484,116.088253"
Goshen Kota Marudu,"6.494519,116.760675"
Kompleks Fajar TWU,"4.245937,117.892367"
Fajar Centre LD,"5.029285,118.326522"
1 Arena Twu,"4.258608,117.919224"
Indah Permai KK,"6.059875,116.151176"
Kota Belud,"6.355139,116.429954"
Tuaran Complex,"6.175945,116.233039"
"PEKAN TENOM,SABAH","5.1221988,115.9412393"
"BANDAR INDAH. SANDAKAN,SABAH","5.8546202,118.0740434"
"PALM SQUARE,KINARUT,SABAH","5.8293035,116.0435575"
"PEKAN PAPAR,SABAH","5.7350446,115.9319454"
"BANDAR TABANAK,LAHAD DATU,SABAH","5.0344207,118.3118749"
"LORONG AVENUE 3,SANDAKAN,SABAH","5.8645939,118.0527359"
"ALAMESRA KOTA KINABALU,SABAH","6.0326737,116.1316708"
"TAKADA PERTAMA COMMERCIAL CENTRE,SABAH","4.2522793,117.8964919"
"METRO TOWN,SABAH","5.9757494,116.112729"
"Pekan Kota Belud, Sabah","6.357893,116.4291626"
The One Plaza Keningau,"5.3715203,116.1834267"
"Sierra Bizhub, Jalan Tuaran, KK, Sabah","6.0627953,116.1814713"
"Golden Hill, Inanam, KK, Sabah","6.0063223,116.1454868"
"Sipitang Plaza, Sabah","5.0788042,115.5500713"
"Lintas Jaya, KK, Sabah","5.9322359,116.0709134"
"Grace Square, KK Sabah","5.960817,116.061107"
ITCC Penampang Sabah,"5.910440,116.090828"
"Jati Shophouse, Jalan Kemajuan Labuan","5.280627,115.242717"
"Putatan Plaza, Kota Kinabalu","5.893678,116.049159"
PasarBorangB.CavesKL,"3.238021,101.669245"
Bdr Universiti Prk,"4.364338,100.977587"
Jln IsmailMersingJhr,"2.429629,103.837041"
Bkt Payong Trg,"5.231918,103.103071"
Commerce Square S way,"3.081286,101.612594"
Chendering Trg,"5.267175,103.16429"
"Casa Tropicana, Sel","3.137345,101.594889"
Menara PGRM Cheras,"3.122398,101.729946"
Mines Shopping Mall,"3.027499,101.717994"
Sek9 Putra Heights,"2.993699,101.561817"
"SS2/72,Taman SEA PJ","3.118592,101.625895"
"Wangsa Permai,KL","3.20907,101.610285"
"Bt Nilam 34, Klang","2.998748,101.430821"
"Pasir Mas, Kltn","6.043906,102.144117"
Pudu Star Lrt,"3.134611,101.711991"
"Jln Haji Ahmad, Phg","3.833182,103.328242"
Warisan City View KL,"3.127224,101.72154"
LRT Maluri Cheras,"3.123094,101.727098"
"Jalan Kaskas, Jln Cheras","3.100158,101.739296"
"Jln Sentul, Klang","3.011763,101.411163"
U8/A Seku 8 SA,"3.115164,101.526788"
Prima Saujana Kajang,"3.008067,101.805311"
Semabok Mlk,"2.192873,102.265028"
"Jinjang Utara, KL","3.210776,101.659367"
Jerteh Trg,"5.737657,102.495982"
Balok Phg,"3.919097,103.365451"
Wisma Indah Cheras,"3.133089,101.718493"
Premier 101 KCH,"1.515202,110.353468"
Kenari 19A Puchong,"3.045798,101.623666"
Jalan Imbi 2 KL,"3.144349,101.713955"
"Jetty Kuah,Langkawi","6.306602,99.852145"
Austin Heights JB,"1.561657,103.778653"
Lrg Bt Nilam 21A Klg,"2.997486,101.441993"
Tmn Sin Hoe Mlk,"2.215609,102.266678"
Bdr Teknologi Kajang,"2.972723,101.828753"
"Tmn Klang Jaya, Klang","3.008878,101.441695"
Wakaf Baru Kltn,"6.121468,102.201546"
Sg Lembing Pahang,"3.823708,103.30672"
"S8,Kota D'sara, Sel","3.174962,101.575376"
SS 15 Bltn Jengka Sbg,"3.07391,101.586923"
"Langkap, Perak","4.073136,101.148044"
"Wisma Cosway, KL","3.150637,101.712045"
101 Mall Puchong,"3.043998,101.618431"
Bukit Mewah Kajang,"2.989378,101.80069"
Jln Pandamaran Klg,"3.007335,101.414449"
Palma Botanic Klang,"2.987822,101.425564"
"Taman Cempaka,Ipoh","4.594723,101.127538"
Jln Besar Tambun Prk,"4.610206,101.139619"
Plaza Mahkota Mlk,"2.190035,102.247607"
BdrPuteri1/4 Puchong,"3.025924,101.616832"
Plumbum U7/7 Sek 7 SA,"3.06692,101.489663"
Pandan Utama Ampang,"3.142099,101.74789"
Jln Peniaga U1 SA,"3.081955,101.559456"
PusatDaganganNZX PJ,"3.114532,101.59067"
Greentown Ipoh,"4.598463,101.092482"
"BTS 1st Floor, KL","3.142356,101.710017"
Dtrn Senawang N9,"2.704301,101.986588"
Pekan Changloon Kdh,"6.434615,100.429646"
Gurun Kdh,"5.81182,100.477891"
Rantau N9,"2.587438,101.96295"
Tmn Tasik Utama Mlk,"2.272587,102.280993"
Sunway PJS7 Sel,"3.073747,101.615008"
Tgk Diauddin Klg,"3.041858,101.448636"
Subang Hi-Tec S.Alam,"3.067241,101.561294"
Tmn Samudra B.Caves,"3.235081,101.697368"
"D'sara Damai 2A, Sel","3.198235,101.594237"
"Chukai, Trg","4.218338,103.423858"
Bandar Bentong Phg,"3.525610,101.906346"
Sagil Tangkak JB,"2.305348,102.61551"
Jln Maharajalela KL,"3.136485,101.702577"
Sri Petaling KL,"3.06737,101.687508"
Kiara Walk KL,"3.168181,101.648758"
Dtran Syahbandar Trg,"5.336658,103.140678"
Taman Intan Klang,"3.056758,101.474139"
TmnSriPulai 3 Sbn N9,"2.749975,101.947763"
Taman Bukit Kinrara,"3.041258,101.636359"
"Simpang,Taiping","4.825042,100.703532"
"Bercham Raya,Prk","4.637229,101.146271"
Tmn Tun Perak Cheras,"3.058997,101.757814"
Tmn BidaraPermai Mlk,"2.326169,102.081868"
"Taman Jati,Ipoh","4.660434,101.071341"
Padang Serai Kdh,"5.516966,100.546754"
Masai JB,"1.486828,103.882076"
"Jln Pesta, TTDI,Muar","2.048382,102.586228"
BdrPuteriJaya SP Kdh,"5.613108,100.533011"
"S5, Kota D'sara, Sel","3.155849,101.583573"
Taming Permai B'kong,"3.023754,101.731379"
Jln Pahang Caltex KL,"3.17624,101.69887"
JlnTunDrIsmailSbn N9,"2.731698,101.937485"
"Taman Mas,Taiping","4.821885,100.739932"
Bukit Mahkota Bangi,"2.881789,101.807387"
"Parit Sulong,B.P","1.974847,102.883114"
"Gong Kapas,Trg","5.311828,103.139433"
"Taman Utama,Segamat","2.508608,102.819902"
"Lucky Garden,Bangsar","3.127618,101.670168"
Indera Mahkota 5 Phg,"3.823127,103.29214"
Plaza UMNO B.Caves,"3.236171,101.679438"
"Kota D'sara, 6/33","3.161898,101.582191"
"Simpang Pulai,Perak","4.537912,101.12458"
Tmn Sri Khantan Prk,"4.746895,101.117882"
Setia Alam SA,"3.098353,101.444291"
"Jln Idris,Taiping","4.848671,100.73913"
"Parit Bakar,Muar","2.002143,102.605647"
Biz Avenue Sbn N9,"2.699098,101.912578"
Kuala Krai Kltn,"5.545845,102.200658"
Tmn Impian Phg,"3.862823,103.251"
"Kertih,Tgg","4.488924,103.440742"
"Tmn Pelangi,Kedah","6.096409,100.345961"
Petaling Utama PJ,"3.080662,101.649488"
Era Square Sbn N9,"2.725713,101.93174"
"Sunwaymas, PJ","3.120274,101.59884"
TasekTambahanAmpang,"3.128906,101.776008"
Polymall PD N9,"2.440997,101.861975"
"Kota Warisan,Sepang","2.824648,101.705938"
FocusHeightsBPulauPg,"5.351281,100.238617"
Bukit Sri Bintang KL,"3.18831,101.641584"
Kelana Square PJ,"3.105836,101.592995"
KelapaSawitKulai Jhr,"1.67671,103.5283"
Jln Bulan LowYat KL,"3.144541,101.709717"
UiTM Machang Kltn,"5.756762,102.272353"
"Kg Boyan,Taiping","4.841254,100.724263"
DwitskP'suri Cheras,"3.099531,101.712684"
"Taman Semerah,Muar","1.883727,102.781882"
Jln Kamunting Prk,"4.886225,100.730383"
Tmn Mewah Prk,"4.884772,100.71668"
BerisKuburBesar Kltn,"6.072488,102.360692"
Padang Besar Perlis,"6.660779,100.320821"
Casa Tiara Subang,"3.082315,101.590359"
"Kota Sentosa, Kch","1.471529,110.331482"
Mutiara Tropicana PJ,"3.129131,101.599435"
TmnLalangK TinggiJhr,"1.719649,103.893582"
Tropicana City Mall,"3.13054,101.626332"
SetiaTropikaKempasJB,"1.545229,103.712767"
BdrPuteri5/1 Puchong,"3.013587,101.615604"
Wisma Central Ampang,"3.158921,101.714548"
"Jln Genuang, Segamat","2.499693,102.826913"
Jln Kelang Lama KL,"3.089273,101.674041"
Bdr Pngkln Indah Prk,"4.542942,101.083102"
"Bandar Jerantut, Phg","3.93706,102.362315"
PlazaPandanMalim Mlk,"2.227952,102.226871"
BdrLagendaMantin N9,"2.821966,101.871197"
TmnBersatuKulai Jhr,"1.652301,103.593628"
Damansara Intan PJ,"3.129768,101.628746"
BktBeruangIndah Mlk,"2.254547,102.277224"
Taman Sri Bahtera KL,"3.100961,101.736357"
BertamP'danaKBatasPg,"5.517359,100.447679"
Bukit Pelindung Phg,"3.836048,103.350695"
Bdr Baru Manjung Prk,"4.197943,100.667995"
Bukit Setongkol Phg,"3.804265,103.302372"
Pinggiran B.Caves,"3.250578,101.692385"
Jln TAR 2 KL,"3.151494,101.695823"
Pandan Indah3 Cheras,"3.129431,101.75527"
Desa Setapak 2 KL,"3.205578,101.732928"
Jalan Shahab A.Star,"6.140019,100.354697"
"SS 15/2A, Subang","3.081383,101.58751"
19 Digital Mall SJ,"3.033204,101.588798"
SS15/4E Subang Jaya,"3.077001,101.587591"
Seksyen 3 Bangi,"2.938469,101.775361"
Megan Setapak,"3.194402,101.730319"
"Taman Negeri, PD","2.552262,101.806312"
138 Jalan Imbi KL,"3.145618,101.714845"
Indera Mahkota 8 Phg,"3.827629,103.302023"
Wakaf Che Yeh Kltn,"6.088138,102.235702"
Tmn Melaka Raya Mlk,"2.183495,102.260358"
Jalan Othman PJ,"3.086356,101.648654"
Bkt Sekilau Phg,"3.821634,103.322124"
Menara UOA Bangsar,"3.127521,101.67881"
Bdr Baru Nilai N9,"2.813035,101.792957"
PantaiCahayaBulanKlt,"6.187198,102.267574"
Tmn Sri Jati Puchong,"3.076811,101.66328"
Wisma Awang Chik Trg,"5.325694,103.148422"
Tmn Murni Benut JB,"1.647199,103.258564"
Tmn Samudera Prk,"4.200509,100.661574"
Semenyih Sentral Kjg,"2.944892,101.843691"
"Kiosk@Curve, D'SARA","3.158543,101.612672"
Tmn Ros T.Intan Prk,"4.004809,101.016646"
Jln Jedok Kltn,"5.811737,102.131054"
Simpang Empat Perlis,"6.340413,100.189342"
Pinggiran USJ SJ,"3.050212,101.555654"
JlnEndauMersing Jhr,"2.43285,103.83481"
Kiara Bahau N9,"2.810470,102.395650"
Jln Serambi U8 SA,"3.103002,101.527783"
BdrBaruPokokSena Kdh,"6.166435,100.5085"
Platinum Walk KL,"3.207308,101.718708"
Bandar Utama 4 PJ,"3.150578,101.610456"
RampaiBusinessParkKL,"3.199129,101.728279"
Medan Idaman KL,"3.212812,101.711705"
JlnSriCemerlang Kltn,"6.129263,102.247309"
Bukit Bakri Muar JB,"2.04189,102.656384"
KotaSrgSemutAStarKdh,"5.975194,100.399737"
JlnSltnYahyaPetraKlt,"6.116705,102.244215"
F&N Business Park KL,"3.129552,101.714328"
Mutiara Damansara,"3.159111,101.60329"
Presint Diplomatik,"2.945192,101.723925"
JB Sentral,"1.462946,103.764584"
Desa Hartamas KL,"3.163701,101.649147"
Kg Nakhoda B.Caves,"3.250217,101.675677"
Kuala Ibai Trg,"5.284642,103.168753"
Tmn Bukit Indah JB,"1.484504,103.647396"
"Tmn Berlian, Langkawi","6.333653,99.862415"
Simpang Empat Kedah,"6.022457,100.382764"
Tmn Kemajuan Kangar,"6.424564,100.197592"
Viva Jln Ipoh KL,"3.177758,101.685776"
Simpang Renggam Jhr,"1.8215,103.315094"
Putra Park Ampang,"3.121105,101.766377"
Anggerik Eria SA,"2.993318,101.531157"
Pandan Safari KL,"3.113083,101.743883"
Jalil Link KL,"3.059993,101.673467"
Tmn Desa Tebrau JB,"1.555522,103.795126"
Tmn Impian Senai JB,"1.595689,103.645778"
MergongJaya AS Kdh,"6.140667,100.33524"
TmnPuncakJalilS.Kemb,"3.017776,101.675503"
Pokok Assam Taiping,"4.830117,100.738275"
Taiping Sentral Prk,"4.865449,100.731177"
Tmn Jinma S.Kemb,"3.016587,101.703599"
Jln Meranti Kltn,"6.045674,102.143352"
"Jln Besar, Dungun Trg","4.755508,103.41141"
BB Sri Petaling,"3.071476,101.682345"
Taman Setia Rawang,"3.30332,101.598993"
MelatiUtama2Setapak,"3.222074,101.728828"
"Parit Jawa, Muar","1.958519,102.643488"
"Tok Jembal, K.Trg","5.401698,103.09169"
Taman Mak Chili Trg,"4.240748,103.404353"
Taman Seroja Sepang,"2.826692,101.730155"
Sec 15 SA,"3.064228,101.539279"
Jalan Opera TTDI SA,"3.103993,101.557987"
Sri Manja PJS3 PJ,"3.074422,101.645996"
Pst DaganganDana1 PJ,"3.110662,101.583133"
Taman Sutera Mlk,"2.256093,102.253393"
TmnAnson T.Intan Prk,"3.994429,101.00605"
Tmn Pertama Cheras,"3.112304,101.729726"
Tmn Setiawangsa KL,"3.178532,101.74189"
TmnKotaHarmoni Kltn,"5.778234,102.146729"
Panchor Kltn,"6.138629,102.300323"
B.B KangkarPulai Jhr,"1.564121,103.591257"
Mutiara Gombak,"3.236972,101.717308"
"Jalan Gambang, Phg","3.762568,103.214313"
Tmn Gombak Jaya KL,"3.217216,101.712654"
PusatDaganganRaubPhg,"3.795725,101.855645"
Kg Simee Prk,"4.618467,101.108908"
Jln Kamaruddin K.Trg,"5.315126,103.148686"
"Taman Universiti, B.P","1.848724,103.074953"
Jln Platinum Sec 7 SA,"3.08179,101.492879"
USJ 9/5Q UEP SJ,"3.046626,101.587845"
TmnSenawangIndah2 N9,"2.695283,101.998929"
Tumpat Kltn,"6.198875,102.169804"
SS2/6 Petaling Jaya,"3.115831,101.616644"
BdrTenggaraKulai Jhr,"1.847816,103.61783"
JlnTengku Ismail Phg,"3.442931,102.415479"
LamanRimbunan Kepong,"3.211086,101.650572"
Sri Aman Kltn,"5.838861,102.377233"
"Kluang Baru, Kluang","2.040295,103.332166"
SS 14/2 SJ,"3.072593,101.591217"
B.TunHusseinOnn2 Kjg,"3.046457,101.759794"
Dang Wangi KL,"3.156052,101.700386"
KomplekNiagaMDGMKltn,"4.878929,101.96314"
BdrSriAlamMasai Jhr,"1.494269,103.874295"
"Jemaluang, Mersing","2.425979,103.834837"
"Taman Jaya Mas, JB","1.492309,103.64105"
Bdr Baru SgUdang Mlk,"2.290283,102.140222"
"Jalan Besar, Paka, Trg","4.621188,103.441323"
Kenari 4 Puchong Jaya,"3.045291,101.621342"
Kuala Besut Trg,"5.833589,102.541263"
FATA Hotel Kuching,"1.555053,110.347382"
BdrPerdaB.MertajamPg,"5.366273,100.437915"
Taman Serdang Perdana,"3.030799,101.708564"
Impian Meridian SJ,"3.061815,101.594511"
WismaFAMJlnSS5A/9 PJ,"3.095567,101.605696"
Prima Sri Gombak,"3.239451,101.700168"
Wangsa Mewangi Kltn,"4.872761,101.96333"
Explanad Bukit Jalil,"3.061343,101.675921"
Metro Wangsa KL,"3.205281,101.735756"
Wisma Yakin Kltn,"6.097644,102.278495"
Pekan Serom JB,"2.165306,102.586837"
Jln SS 2/61 PJ,"3.117111,101.621714"
Chicha Kltn,"6.084647,102.276873"
Jln Padang Air K. Trg,"5.350669,103.075208"
Tok Adis K. Ibai Trg,"5.283163,103.164815"
Taman Samarinda Mlk,"2.373704,102.228352"
"Jalan Hiliran, K.Trg","5.316771,103.126845"
Kelana Ctr Point PJ,"3.099617,101.591641"
TmnDesaJatiNilai N9,"2.837306,101.787472"
"Tmn Flora Utama, B.P","1.867997,102.949284"
"Tmn Mesra, Saleng, JHR","1.635065,103.629599"
Seremban InnHotel N9,"2.726072,101.936782"
Jln Pasir Akar Trg,"5.728156,102.491455"
"Jln batu Rakit, K. Trg","5.410886,103.071233"
BdrPutraPermaiS.Kemb,"2.986759,101.665369"
Taman Kolej Seremban,"2.750361,101.966378"
"Bukit Tunggal, K. Trg","5.339303,103.101309"
Kompleks Arau Perlis,"6.426755,100.272796"
Boulevard Miri Swk,"4.416105,114.011553"
NorthYuSeng Miri Swk,"4.39846,113.988974"
"Menglembu, Ipoh","4.566385,101.047254"
FraserBusinessPk2 KL,"3.128188,101.714014"
"Sri Lambak, Kluang","1.953892,103.383544"
"Tmn Bukit Perdana, BP","1.842904,102.953672"
"Relau, Penang","5.331339,100.281195"
"Taman Bedong, Kedah","5.738786,100.509439"
BgnKoperasiPolis KL,"3.139137,101.696875"
Kuantan Avenue Phg,"3.814335,103.333171"
ITT Bndr Tasek Selatan,"3.077799,101.710886"
Indera Sempurna Phg,"3.733412,103.267654"
Jln Bdr T.Intan Prk,"4.02491,101.018769"
Telipot Kelantan,"6.108907,102.242165"
Jln 7/7A Sek 7 Bangi,"2.97099,101.773712"
"Seberang Marang, Ktrg","5.199702,103.208165"
"Tmn Bkt Galena, Seremban","2.725847,101.909981"
"Tmn Batik Puteri, Perak","4.20989,100.615145"
"Tmn Sungai Bajar, Trg","5.073883,103.020901"
"Tmn Krubong Jaya, Melaka","2.296506,102.246411"
"Jln Bukit, K. Selangor","3.340029,101.249986"
Greentown Ipoh Perak,"4.598905,101.095424"
Pendang Baru Kedah,"5.990698,100.48093"
TTDI K.L.,"3.139153,101.628913"
KotaSriKenangan Kltn,"6.124122,102.267488"
JlnAmpuanZabedah SA,"3.083868,101.526565"
Pengkalan Hulu Perak,"5.707886,100.998846"
Tmn Rawang Idaman,"3.309961,101.557609"
Taman Saujana Mlk,"2.241154,102.300296"
Jln Ampang K.L,"3.151352,101.698098"
Jln Maharani Muar,"2.046249,102.564939"
DtrnSelayang B.Caves,"3.237684,101.673915"
BktRahmanPutra 1 SA,"3.209817,101.562474"
TmnSetiaTropika 2 JB,"1.542862,103.710929"
Kg Bt. Jln Ipoh KL,"3.2049,101.674349"
Kuchai Avenue KL,"3.086517,101.692178"
Bentong II Phg,"3.539034,101.901885"
Regalia USJ 1 SJ,"3.055456,101.604963"
Tmn Cengal Temerloh,"3.46416,102.392843"
"Tmn Patin, Mambau NS","2.670781,101.920877"
Jln Sultan Mahmud Trg,"5.312275,103.155584"
Tmn Pun Chun Bdr Prk,"4.104462,101.287285"
"Happy Garden, PD","2.525793,101.808921"
"Sentul Park, KL","3.197187,101.690477"
Semambu Kuantan Phg,"3.849726,103.335508"
Mahkota Cheras 2 Kjg,"3.054152,101.788596"
"Putra Square, Kuantan","3.816859,103.326045"
BdrTskSelatan Cheras,"3.071851,101.711764"
Tmn Mount Austin JB,"1.546256,103.787882"
"Tmn Pura Kencana,BP","1.853863,103.02371"
USJ 4/6B SJ,"3.051171,101.576063"
Section 23 Shah Alam,"3.045402,101.52635"
Alor Mengkudu AS Kdh,"6.094713,100.379947"
BdrKinrara 2 Puchong,"3.052009,101.643576"
Klebang Kecil Mlk,"2.212393,102.209498"
Tmn Bkt Tiram JB,"1.602347,103.81273"
Tmn Seraya Kulai Jhr,"1.654639,103.609831"
Jalan Chin Hwa Kltn,"5.53168,102.199595"
"Sentul Perdana, KL","3.181532,101.697293"
Tmn Merdeka Jaya Mlk,"2.271868,102.246349"
Persiaran Gurney Pg,"5.439775,100.30878"
Bdr Kamunting Prk,"4.892968,100.734396"
Pekan Sg Siput Prk,"4.820116,101.070844"
Tmn Sri Impian Kluang,"2.004090,103.354910"
"Taman Jelita,Miri","4.308735,113.992689"
Jalan Dato Sagor Prk,"4.771529,100.924951"
Tmn Arked SP Kdh,"5.62681,100.470687"
The Strand PJ,"3.15459,101.593398"
Taylor University SJ,"3.063483,101.616054"
"Masgenuine, Sg Buloh","3.235949,101.542012"
Pengkalan Kubur Kltn,"6.227811,102.095094"
Kg Sireh Kltn,"6.113899,102.232429"
Tmn Molek JB,"1.522257,103.785292"
Jln Raja Chulan Prk,"4.777682,100.941125"
Kg Baru Ijok Sel,"3.31477,101.414304"
Jln Boling Padang SA,"3.076388,101.551317"
TmnUtaraJejawiPerlis,"6.442403,100.234467"
BdrKinrara 5 Puchong,"3.037781,101.646918"
Jalan Bukit Kajang,"2.989207,101.791028"
"Jln Sultan Sulaiman, Trgn","5.331048,103.14406"
"Tmn Sri Nur, Trgn","5.369264,103.087474"
Tmn Gopeng Baru Prk,"4.467064,101.164086"
TTDI Aminuddin Baki,"3.153395,101.622998"
Jln Besar Tampin N9,"2.470712,102.23153"
Pesona Height Phg,"3.353128,101.827010"
"Tmn Sri Bakri, Muar","2.045739,102.621834"
Kota Fesyen MITC Mlk,"2.27066,102.291445"
"Nottingham Uni, Kjg","2.94456,101.875113"
"Tmn Song Choon, Ipoh","4.556813,101.112617"
Tmn Sri Batu Caves,"3.234904,101.685194"
Tmn KurniaJaya1 Phg,"3.78371,103.289495"
Semabok Perdana Mlk,"2.20227,102.273029"
TmnOrkidSgSiputPrk,"4.818951,101.087415"
Jln Balai Besar Trg,"4.719053,103.418306"
JlnAbangGalauBintulu,"3.169255,113.04485"
"Straits Quay, Penang","5.457133,100.312879"
Endah Promenade KL,"3.063636,101.69684"
Ayer Itam Pg,"5.404256,100.289018"
Jln Sultanah A. Setar,"6.143099,100.366204"
TmnRumasS.RenggamJhr,"1.830752,103.308989"
Jln Pahat Sek15 SA,"3.063754,101.527466"
Subang Bestari SA,"3.181143,101.542444"
"Bdr Banting, Klg","2.812735,101.49897"
Alam Avenue Sek16 SA,"3.057604,101.49164"
"Tmn Pulai Utama, Jhr","1.544864,103.624224"
Bdr Baru Mergong Kdh,"6.130093,100.342767"
Carpenter Street Kch,"1.55856,110.345641"
AssyakirinSquare Swk,"3.197832,113.055672"
Jalan Lipis Raub Phg,"3.796145,101.860396"
Padang Luas Trg,"5.741028,102.474766"
JlnSongThianCheokKch,"1.555042,110.353538"
JlnSultanAbdullahPhg,"3.489377,103.394568"
Taman Kayu Manis N9,"2.736676,101.97091"
Hutan Melintang Prk,"3.894135,100.937058"
Bandar Puchong Utama,"2.994923,101.620957"
Tmn Air Putih Phg,"3.833398,103.336541"
Jaya One 2 PJ,"3.117325,101.635924"
Taman Ampangan N9,"2.726377,101.998966"
TmnJernangJayaKajang,"2.924877,101.759441"
Tmn Cheng Permai Mlk,"2.26728,102.217156"
Damai Central Kch,"1.750596,110.315241"
Desa Park KL,"3.096207,101.677319"
"Setia Prima, Klang","3.094622,101.445562"
Life Centre KL,"3.15388,101.708462"
Dtrn Segar Lukut N9,"2.560461,101.813312"
"S2 City Park, N9","2.686055,101.916896"
"Jln Lim Hoe Lek, Ktn","3.815187,103.321859"
"PJCC,PJ","3.078624,101.626571"
Iskandar Perdana Prk,"4.360321,100.962826"
"Subang Perdana, SA","3.147983,101.545029"
"Senggarang, B. Pahat","1.749068,103.051653"
Jln Tun Jugah Kch,"1.527099,110.357529"
Tmn Bkt Kubu K. Perlis,"6.402507,100.139155"
"Manjoi, Perak","4.613577,101.069393"
Unimas Pavilion Kch,"1.468319,110.43012"
Jln Besar A/Gajah Mlk,"2.384734,102.208031"
JlnMajuKotaTinggiJB,"1.734097,103.90658"
Pantai Johor A. Setar,"6.167849,100.36872"
TmnBkt BlossomSbn N9,"2.696478,101.947001"
